date	time	group	subject	session	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	trialduration	trialtimeout	response	correct	latency	stimulusnumber1	stimulusitem1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusonset3
2020-12-16	10:23:57	1	2	1	6.3.1	3	20	traits_in	d_gewalttaetig	0	0	0	0	89	1	44	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	21	traits_in	d_friedfertig	0	0	0	0	12	1	42	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	22	traits_in	d_besonnen	0	0	0	0	12	1	51	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	23	traits_in	d_gesetzestreu	0	0	0	0	99	1	38	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	24	traits_in	d_harmlos	0	0	0	0	71	1	32	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	25	traits_in	d_fanatisch	0	0	0	0	81	1	37	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	26	traits_in	d_ungefaehrlich	0	0	0	0	18	1	38	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	27	traits_in	d_besonnen	0	0	0	0	10	1	47	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	28	traits_in	d_traditionell	0	0	0	0	68	1	46	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	29	traits_in	d_kriminell	0	0	0	0	83	1	51	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	30	traits_in	d_aggressiv	0	0	0	0	49	1	34	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	31	traits_in	d_gefaehrlich	0	0	0	0	63	1	44	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	32	traits_in	d_zivilisiert	0	0	0	0	69	1	48	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	33	traits_in	d_radikal	0	0	0	0	60	1	43	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	34	traits_in	d_gefaehrlich	0	0	0	0	86	1	53	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	35	traits_in	d_kriminell	0	0	0	0	61	1	33	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	36	traits_in	d_gewalttaetig	0	0	0	0	44	1	47	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	3	37	traits_in	d_bedrohlich	0	0	0	0	69	1	39	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	1	traits_out	m_harmlos	0	0	0	0	15	1	53	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	2	traits_out	m_zivilisiert	0	0	0	0	49	1	57	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	3	traits_out	m_gesetzestreu	0	0	0	0	44	1	56	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	4	traits_out	m_besonnen	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	5	traits_out	m_zivilisiert	0	0	0	0	38	1	52	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	6	traits_out	m_radikal	0	0	0	0	58	1	32	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	7	traits_out	m_aggressiv	0	0	0	0	27	1	54	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	8	traits_out	m_beitragend	0	0	0	0	10	1	55	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	9	traits_out	m_fremdartig	0	0	0	0	59	1	58	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	10	traits_out	m_terroristisch	0	0	0	0	64	1	28	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	11	traits_out	m_aggressiv	0	0	0	0	77	1	43	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	12	traits_out	m_gefaehrlich	0	0	0	0	18	1	42	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	13	traits_out	m_kriminell	0	0	0	0	37	1	54	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	14	traits_out	m_besonnen	0	0	0	0	31	1	35	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	15	traits_out	m_gewalttaetig	0	0	0	0	13	1	53	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	16	traits_out	m_fanatisch	0	0	0	0	45	1	47	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	17	traits_out	m_tolerant	0	0	0	0	52	1	41	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	18	traits_out	m_gefaehrlich	0	0	0	0	48	1	61	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	19	traits_out	m_friedfertig	0	0	0	0	65	1	45	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	20	traits_out	m_taeter	0	0	0	0	82	1	48	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	21	traits_out	m_radikal	0	0	0	0	69	1	42	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	22	traits_out	m_geschlechtergerecht	0	0	0	0	71	1	35	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	23	traits_out	m_bedrohlich	0	0	0	0	7	1	25	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	24	traits_out	m_undemokratisch	0	0	0	0	83	1	61	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	25	traits_out	m_traditionell	0	0	0	0	18	1	43	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	26	traits_out	m_gewalttaetig	0	0	0	0	31	1	36	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	27	traits_out	m_fanatisch	0	0	0	0	57	1	44	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	28	traits_out	m_beitragend	0	0	0	0	13	1	47	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	29	traits_out	m_gesetzestreu	0	0	0	0	44	1	30	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	30	traits_out	m_kriminell	0	0	0	0	92	1	65	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	31	traits_out	m_traditionell	0	0	0	0	32	1	41	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	32	traits_out	m_undemokratisch	0	0	0	0	43	1	32	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	33	traits_out	m_taeter	0	0	0	0	83	1	43	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	34	traits_out	m_ungefaehrlich	0	0	0	0	94	1	42	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	35	traits_out	m_geschlechtergerecht	0	0	0	0	94	1	29	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	36	traits_out	m_ungefaehrlich	0	0	0	0	57	1	40	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	4	37	traits_out	m_harmlos	0	0	0	0	90	1	41	0	0	0	0	0	0	0	0	0
2020-12-16	10:23:57	1	2	1	6.3.1	5	1	consent_two	consent_two	0	0	0	0	45	0	52	1	After being informed about the experiment's purpose,  do you consent to the use of your data for purely scientific purposes?  If yes, please press the space bar, if no please press x	3	0	0	0	0	0	0
